feature,coefficient,abs_importance
season_goal_diff_avg_diff,0.3276431295970218,0.3276431295970218
rolling_goal_diff_10_diff,-0.31118878378192016,0.31118878378192016
rolling_high_danger_shots_5_diff,0.29054125817823334,0.29054125817823334
is_b2b_home,-0.23687208403093143,0.23687208403093143
shotsAgainst_roll_10_diff,-0.22808503662833787,0.22808503662833787
season_win_pct_diff,-0.21204876428375719,0.21204876428375719
rolling_xg_for_5_diff,-0.20955137533592405,0.20955137533592405
shotsFor_roll_3_diff,0.19016689043137,0.19016689043137
games_played_prior_away,0.18736793244014563,0.18736793244014563
rolling_corsi_5_diff,-0.1745587094344976,0.1745587094344976
rolling_win_pct_10_diff,0.17449632178625962,0.17449632178625962
games_played_prior_home,-0.16597497778963485,0.16597497778963485
is_b2b_away,-0.16442036432033477,0.16442036432033477
rolling_xg_against_5_diff,-0.15955446202836107,0.15955446202836107
home_team_28,-0.15409601516067192,0.15409601516067192
rolling_high_danger_shots_3_diff,-0.15314906001382395,0.15314906001382395
home_team_10,0.14353774235498543,0.14353774235498543
away_team_6,-0.13923239426378672,0.13923239426378672
rolling_xg_for_3_diff,0.13483848099105744,0.13483848099105744
rolling_goal_diff_5_diff,0.1347370178159665,0.1347370178159665
away_team_4,0.12834788113734297,0.12834788113734297
home_team_12,0.127666275157924,0.127666275157924
away_b2b,0.12430052019229314,0.12430052019229314
rest_away_b2b,0.12430052019229314,0.12430052019229314
away_team_29,0.1235190614946452,0.1235190614946452
home_team_16,-0.12256794636674499,0.12256794636674499
rolling_xg_against_10_diff,0.11483254117597692,0.11483254117597692
home_team_14,0.11165513064936032,0.11165513064936032
home_team_24,-0.1099228670260393,0.1099228670260393
rolling_fenwick_10_diff,-0.10928795433803785,0.10928795433803785
home_team_4,-0.10161940764803719,0.10161940764803719
home_team_8,-0.10151334766257064,0.10151334766257064
rolling_xg_for_10_diff,0.09933819299144099,0.09933819299144099
rolling_win_pct_5_diff,-0.0975051422851249,0.0975051422851249
home_team_6,0.09699461826286629,0.09699461826286629
momentum_goal_diff_diff,-0.0961099410182389,0.0961099410182389
shotsFor_roll_5_diff,0.09107681008308792,0.09107681008308792
home_team_15,-0.09016351534797515,0.09016351534797515
home_team_13,0.08979017572401872,0.08979017572401872
away_team_8,0.08958225036848734,0.08958225036848734
rest_away_one_day,-0.08708739092657171,0.08708739092657171
away_team_28,0.08603989962310576,0.08603989962310576
away_team_3,-0.08312266917731222,0.08312266917731222
rolling_high_danger_shots_10_diff,-0.08189659487173148,0.08189659487173148
rolling_xg_against_3_diff,0.08141035160454906,0.08141035160454906
away_team_21,-0.08100313049316403,0.08100313049316403
home_team_21,0.07912005515154626,0.07912005515154626
away_team_54,-0.07668702321840942,0.07668702321840942
away_team_16,0.07397149200705758,0.07397149200705758
away_team_17,0.06831824146539732,0.06831824146539732
away_team_9,0.06637686646966197,0.06637686646966197
elo_expectation_home,0.06536917653166352,0.06536917653166352
home_team_23,-0.06439034653122142,0.06439034653122142
home_team_30,0.0636962789213045,0.0636962789213045
rolling_fenwick_5_diff,0.061966680046001,0.061966680046001
rest_days_away,-0.05945056540239242,0.05945056540239242
away_team_30,-0.05767269668945807,0.05767269668945807
home_team_52,0.05647869334165938,0.05647869334165938
home_team_7,-0.05609402274829163,0.05609402274829163
home_team_55,-0.05577772887323578,0.05577772887323578
shotsFor_roll_10_diff,0.0543408216726847,0.0543408216726847
rest_days_home,-0.05429707584877364,0.05429707584877364
home_team_3,0.05107674639401454,0.05107674639401454
rolling_corsi_10_diff,-0.05054581483558458,0.05054581483558458
away_team_24,0.04902672065063189,0.04902672065063189
away_team_52,0.048135089955289326,0.048135089955289326
elo_diff_pre,0.04779900072701773,0.04779900072701773
home_team_2,0.046817173143719464,0.046817173143719464
away_team_10,-0.04659816582913464,0.04659816582913464
momentum_win_pct_diff,0.046312354791990785,0.046312354791990785
home_team_20,-0.04262208099274555,0.04262208099274555
away_team_22,-0.04206914723070484,0.04206914723070484
rolling_xg_diff_5_diff,-0.040275754735647984,0.040275754735647984
rolling_fenwick_3_diff,0.04017250562809337,0.04017250562809337
rolling_xg_diff_3_diff,0.039028706639267885,0.039028706639267885
momentum_xg_diff,-0.036593736492915,0.036593736492915
away_team_12,-0.034465875225105955,0.034465875225105955
home_team_25,0.03308564729559028,0.03308564729559028
away_team_19,-0.029797954934040177,0.029797954934040177
home_team_18,0.029608758301721876,0.029608758301721876
home_team_1,-0.028612170740740864,0.028612170740740864
away_team_25,-0.027749164233504604,0.027749164233504604
season_xg_against_avg_diff,0.027665896966849825,0.027665896966849825
rest_away_two_days,-0.02740050971951142,0.02740050971951142
home_team_22,0.026722112794077903,0.026722112794077903
rolling_goal_diff_3_diff,0.02641373373808786,0.02641373373808786
games_last_6d_home,-0.02622156932384894,0.02622156932384894
away_team_18,-0.02511026773207266,0.02511026773207266
home_team_19,0.024716091264243154,0.024716091264243154
season_xg_diff_avg_diff,-0.022394997482419774,0.022394997482419774
away_team_2,0.021301480655089362,0.021301480655089362
away_team_14,-0.021145809736988024,0.021145809736988024
away_team_7,-0.02051292510362248,0.02051292510362248
rolling_faceoff_3_diff,0.01984046960430979,0.01984046960430979
away_team_26,-0.019797656752461996,0.019797656752461996
home_team_5,-0.018218367917162876,0.018218367917162876
rest_home_three_plus,0.018104355024111785,0.018104355024111785
shotsAgainst_roll_3_diff,-0.017434827299385943,0.017434827299385943
rest_home_two_days,-0.016807925848917177,0.016807925848917177
home_team_17,-0.016346467914918263,0.016346467914918263
home_team_54,-0.016291858272342544,0.016291858272342544
rolling_faceoff_10_diff,-0.0157818049605214,0.0157818049605214
away_team_20,-0.014859913122689986,0.014859913122689986
season_shot_margin_diff,0.014746827638645887,0.014746827638645887
away_team_15,-0.014011064545712047,0.014011064545712047
home_b2b,0.013299411760616383,0.013299411760616383
rest_home_b2b,0.013299411760616383,0.013299411760616383
games_last_3d_home,-0.012820581921019661,0.012820581921019661
games_last_6d_away,-0.012018438656178264,0.012018438656178264
away_team_13,-0.011871961500579151,0.011871961500579151
away_team_55,0.011741313286556889,0.011741313286556889
games_last_6d_diff,-0.010805247447660742,0.010805247447660742
away_team_1,-0.009653034893062419,0.009653034893062419
games_last_3d_away,-0.009394906799487195,0.009394906799487195
is_b2b_diff,-0.008902162521098078,0.008902162521098078
rolling_corsi_3_diff,-0.008731336486733026,0.008731336486733026
home_team_26,-0.00871469936049251,0.00871469936049251
shotsAgainst_roll_5_diff,-0.00823946052838685,0.00823946052838685
home_team_29,0.007637480009923595,0.007637480009923595
momentum_shot_margin_diff,-0.007623179108987561,0.007623179108987561
away_team_23,-0.007373063018906725,0.007373063018906725
rest_away_three_plus,0.006900940513389532,0.006900940513389532
rest_home_one_day,-0.0056174720847566835,0.0056174720847566835
rolling_win_pct_3_diff,-0.0055196103749720355,0.0055196103749720355
away_team_5,-0.004859916783607146,0.004859916783607146
rolling_xg_diff_10_diff,-0.004567820202105789,0.004567820202105789
season_xg_for_avg_diff,-0.004441799389800381,0.004441799389800381
home_team_9,-0.002563533943517704,0.002563533943517704
games_last_3d_diff,-0.002056626004151723,0.002056626004151723
rest_diff,-0.001916701168538709,0.001916701168538709
rest_days_diff,-0.001916701168538709,0.001916701168538709
shot_margin_last_game_diff,-0.0010883141454199501,0.0010883141454199501
rolling_faceoff_5_diff,0.001025220657918555,0.001025220657918555
